Layer name, Layer Type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Stride H, Stride W, MAC Cycles,

AlphaGoZero,
IB2c_1_139,	GEMM,	56,	56,	1,	1,	256,	64,	1,	1,	32,	
IB2c_2_140,	GEMM,	56,	56,	3,	3,	64,	64,	1,	1,	32,	
IB2c_3_141,	GEMM,	56,	56,	1,	1,	64,	256,	1,	1,	32,	
CB3a_1_142,	GEMM,	56,	56,	1,	1,	256,	128,	2,	2,	32,	
CB3a_2_143,	GEMM,	28,	28,	3,	3,	128,	128,	1,	1,	32,	
CB3a_3_144,	GEMM,	28,	28,	1,	1,	128,	512,	1,	1,	32,	
CB3s_145,	GEMM,	56,	56,	1,	1,	256,	512,	2,	2,	32,	
IB3b_1_146,	GEMM,	28,	28,	1,	1,	512,	128,	1,	1,	32,	
IB3b_2_147,	GEMM,	28,	28,	3,	3,	128,	128,	1,	1,	32,	
IB3b_3_148,	GEMM,	28,	28,	1,	1,	128,	512,	1,	1,	32,	
IB3c_1_149,	GEMM,	28,	28,	1,	1,	512,	128,	1,	1,	32,	
IB3c_2_150,	GEMM,	28,	28,	3,	3,	128,	128,	1,	1,	32,	
IB3c_3_151,	GEMM,	28,	28,	1,	1,	128,	512,	1,	1,	32,	
IB3d_1_152,	GEMM,	28,	28,	1,	1,	512,	128,	1,	1,	32,	
IB3d_2_153,	GEMM,	28,	28,	3,	3,	128,	128,	1,	1,	32,	
IB3d_3_154,	GEMM,	28,	28,	1,	1,	128,	512,	1,	1,	32,	
CB4a_1_155,	GEMM,	28,	28,	1,	1,	512,	256,	2,	2,	32,	
CB4a_2_156,	GEMM,	14,	14,	3,	3,	256,	256,	1,	1,	32,	
CB4a_3_157,	GEMM,	14,	14,	1,	1,	256,	1024,	1,	1,	32,	
CB4s_158,	GEMM,	28,	28,	1,	1,	512,	1024,	2,	2,	32,	
IB4b_1_159,	GEMM,	14,	14,	1,	1,	1024,	256,	1,	1,	32,	
IB4b_2_160,	GEMM,	14,	14,	3,	3,	256,	256,	1,	1,	32,	
IB4b_3_161,	GEMM,	14,	14,	1,	1,	256,	1024,	1,	1,	32,	
IB4c_1_162,	GEMM,	14,	14,	1,	1,	1024,	256,	1,	1,	32,	
IB4c_2_163,	GEMM,	14,	14,	3,	3,	256,	256,	1,	1,	32,	
IB4c_3_164,	GEMM,	14,	14,	1,	1,	256,	1024,	1,	1,	32,	
IB4d_1_165,	GEMM,	14,	14,	1,	1,	1024,	256,	1,	1,	32,	
IB4d_2_166,	GEMM,	14,	14,	3,	3,	256,	256,	1,	1,	32,	
IB4d_3_167,	GEMM,	14,	14,	1,	1,	256,	1024,	1,	1,	32,	
